สนามบิน|机场
เอทีเอ็ม2|ATM2
บัตรเครดิต2|信用卡2
เงินสด2|现金2
ประกันการเดินทาง2|旅行保险2
อุบัติเหตุ2|事故2
เจ็บป่วย2|生病2
โรงพยาบาล2|医院2
สถานทูต2|大使馆2
สถานกงสุล2|领事馆2
หมายเลขฉุกเฉิน2|紧急电话2
1912|报警电话2
16692|急救电话2
11552|旅游警察2
ฝ่ายกงสุล2|领事部2
ขอความช่วยเหลือ2|请求帮助2
ติดต่อ2|联系2
ติดต่อสถานทูต2|联系大使馆2
ทำหนังสือเดินทางหาย2|护照丢失2
ทำกระเป๋าหาย2|行李丢失2
กระเป๋าแตก2|行李破损2
เที่ยวบินยกเลิก2|航班取消2
ล่าช้าหลายชั่วโมง2|延误数小时2
ห้องพัก2|住宿2
ที่พัก2|住处2
เต็นท์2|帐篷2
แคมป์2|营地2
บ้านพักตากอากาศ2|度假屋2
บนภูเขา2|山上2
ริมทะเล2|海边2
ในป่า2|森林里2
กลางทะเลทราย2|沙漠中2
รอบเกาะ2|环岛2
รอบเมือง2|环城2
沿着河2|沿着河2
ผ่านเขา2|翻山2
ลอดอุโมงค์2|穿隧道2
สนามบิน3|机场3
เที่ยวบิน3|航班3
ตั๋วเครื่องบิน3|机票3
หนังสือเดินทาง3|护照3
วีซ่า3|签证3
ด่านตรวจคนเข้าเมือง3|海关3
ตรวจหนังสือเดินทาง3|护照检查3
กระเป๋าเดินทาง3|行李箱3
กระเป๋าเป้3|背包3
กระเป๋าถือ3|手提包3
น้ำหนักเกิน3|超重3
登机牌3|登机牌3
ประตูขึ้นเครื่อง3|登机口3
เครื่องบิน3|飞机3
ห้องโดยสาร3|客舱3
ที่นั่ง3|座位3
หน้าต่าง3|窗户3
ทางเดิน3|过道3
เวลามาถึง3|到达时间3
เวลาออกเดินทาง3|出发时间3
ล่าช้า3|延误3
เปลี่ยนเที่ยวบิน3|转机3
เที่ยวบินตรง3|直飞3
โรงแรม3|酒店3
โมเตล3|汽车旅馆3
โฮสเทล3|青旅3
รีสอร์ท3|度假村3
บ้านพัก3|民宿3
ห้องเตียงคู่3|双人房3
ห้องเตียงเดี่ยว3|单人房3
ห้องครอบครัว3|家庭房3
ห้องสวีท3|套房3
อินเทอร์เน็ต3|互联网3
Wi-Fi3|无线网络3
ห้องอาหาร3|餐厅3
สระว่ายน้ำ3|游泳池3
สปา3|SPA馆3
ฟิตเนส3|健身中心3
ที่จอดรถ3|停车场3
แผนกต้อนรับ3|前台3
เช็คอิน3|入住3
เช็คเอาท์3|ออก3
อาหารเช้า3|早餐3
มินิบาร์3|迷你吧3
รถไฟ3|火车3
รถไฟฟ้า3|轻轨3
รถไฟใต้ดิน3|地铁3
รถบัส3|公共汽车3
รถตู้3|小巴3
รถแท็กซี่3|出租车3
มอเตอร์ไซค์3|摩托车3
เรือ3|船3
เรือข้ามฟาก3|渡轮3
เรือเร็ว3|快艇3
เช่ารถ3|租车3
ขับรถ3|开车3
จอดรถ3|停车3
ปั๊มน้ำมัน3|加油站3
ทางด่วน3|高速公路3
แผนที่3|地图3
GPS3|导航3
ไกด์3|导游3
ทัวร์3|旅行团3
ทัวร์ส่วนตัว3|私人团3
ทัวร์ครึ่งวัน3|半日游3
ทัวร์เต็มวัน3|全天游3
ล่องเรือ3|乘船游览3
เดินป่า3|徒步3
ปีนเขา3|爬山3
ดำน้ำ3|潜水3
ดำน้ำตื้น3|浮潜3
แล่นเรือ3|帆船3
โต้คลื่น3|冲浪3
ว่ายน้ำ3|游泳3
พายเรือ3|划船3
ตกปลา3|钓鱼3
ถ่ายรูป3|拍照3
วิดีโอ3|录像3
ของที่ระลึก3|纪念品3
ร้านของที่ระลึก3|纪念品店3
ตลาด3|市场3
ห้างสรรพสินค้า3|百货商店3
อาหาร3|食物3
อาหารท้องถิ่น3|当地菜3
อาหาร街头3|街头食品3
ร้านอาหาร3|餐厅3
สกุลเงิน3|货币3
แลกเงิน3|换钱3
เอทีเอ็ม3|ATM3
บัตรเครดิต3|信用卡3
เงินสด3|现金3
ประกันการเดินทาง3|旅行保险3
อุบัติเหตุ3|事故3
เจ็บป่วย3|生病3
โรงพยาบาล3|医院3
สถานทูต3|大使馆3
สถานกงสุล3|领事馆3
หมายเลขฉุกเฉิน3|紧急电话3
1913|报警电话3
16693|急救电话3
11553|旅游警察3
ฝ่ายกงสุล3|领事部3
ขอความช่วยเหลือ3|请求帮助3
ติดต่อ3|联系3
ติดต่อสถานทูต3|联系大使馆3
ทำหนังสือเดินทางหาย3|护照丢失3
ทำกระเป๋าหาย3|行李丢失3
กระเป๋าแตก3|行李破损3
เที่ยวบินยกเลิก3|航班取消3
ล่าช้าหลายชั่วโมง3|延误数小时3
ห้องพัก3|住宿3
ที่พัก3|住处3
เต็นท์3|帐篷3
แคมป์3|营地3
บ้านพักตากอากาศ3|度假屋3
บนภูเขา3|山上3
ริมทะเล3|海边3
ในป่า3|森林里3
กลางทะเลทราย3|沙漠中3
รอบเกาะ3|环岛3
รอบเมือง3|环城3
沿着河3|沿着河3
ผ่านเขา3|翻山3
ลอดอุโมงค์3|穿隧道3
สนามบิน4|机场4
เที่ยวบิน4|航班4
ตั๋วเครื่องบิน4|机票4
หนังสือเดินทาง4|护照4
วีซ่า4|签证4
ด่านตรวจคนเข้าเมือง4|海关4
ตรวจหนังสือเดินทาง4|护照检查4
กระเป๋าเดินทาง4|行李箱4
กระเป๋าเป้4|背包4
กระเป๋าถือ4|手提包4
น้ำหนักเกิน4|超重4
登机牌4|登机牌4
ประตูขึ้นเครื่อง4|登机口4
เครื่องบิน4|飞机4
ห้องโดยสาร4|客舱4
ที่นั่ง4|座位4
หน้าต่าง4|窗户4
ทางเดิน4|过道4
เวลามาถึง4|到达时间4
เวลาออกเดินทาง4|出发时间4
ล่าช้า4|延误4
เปลี่ยนเที่ยวบิน4|转机4
เที่ยวบินตรง4|直飞4
โรงแรม4|酒店4
โมเตล4|汽车旅馆4
โฮสเทล4|青旅4
รีสอร์ท4|度假村4
บ้านพัก4|民宿4
ห้องเตียงคู่4|双人房4
ห้องเตียงเดี่ยว4|单人房4
ห้องครอบครัว4|家庭房4
ห้องสวีท4|套房4
อินเทอร์เน็ต4|互联网4
Wi-Fi4|无线网络4
ห้องอาหาร4|餐厅4
สระว่ายน้ำ4|游泳池4
สปา4|SPA馆4
ฟิตเนส4|健身中心4
ที่จอดรถ4|停车场4
แผนกต้อนรับ4|前台4
เช็คอิน4|入住4
เช็คเอาท์4|ออก4
อาหารเช้า4|早餐4
มินิบาร์4|迷你吧4
รถไฟ4|火车4
รถไฟฟ้า4|轻轨4
รถไฟใต้ดิน4|地铁4
รถบัส4|公共汽车4
รถตู้4|小巴4
รถแท็กซี่4|出租车4
มอเตอร์ไซค์4|摩托车4
เรือ4|船4
เรือข้ามฟาก4|渡轮4
เรือเร็ว4|快艇4
เช่ารถ4|租车4
ขับรถ4|开车4
จอดรถ4|停车4
ปั๊มน้ำมัน4|加油站4
ทางด่วน4|高速公路4
แผนที่4|地图4
GPS4|导航4
ไกด์4|导游4
ทัวร์4|旅行团4
ทัวร์ส่วนตัว4|私人团4
ทัวร์ครึ่งวัน4|半日游4
ทัวร์เต็มวัน4|全天游4
ล่องเรือ4|乘船游览4
เดินป่า4|徒步4
ปีนเขา4|爬山4
ดำน้ำ4|潜水4
ดำน้ำตื้น4|浮潜4
แล่นเรือ4|帆船4
โต้คลื่น4|冲浪4
ว่ายน้ำ4|游泳4
พายเรือ4|划船4
ตกปลา4|钓鱼4
ถ่ายรูป4|拍照4
วิดีโอ4|录像4
ของที่ระลึก4|纪念品4
ร้านของที่ระลึก4|纪念品店4
ตลาด4|市场4
ห้างสรรพสินค้า4|百货商店4
อาหาร4|食物4
อาหารท้องถิ่น4|当地菜4
อาหาร街头4|街头食品4
ร้านอาหาร4|餐厅4
สกุลเงิน4|货币4
แลกเงิน4|换钱4
เอทีเอ็ม4|ATM4
บัตรเครดิต4|信用卡4
เงินสด4|现金4
ประกันการเดินทาง4|旅行保险4
อุบัติเหตุ4|事故4
เจ็บป่วย4|生病4
โรงพยาบาล4|医院4
สถานทูต4|大使馆4
สถานกงสุล4|领事馆4
หมายเลขฉุกเฉิน4|紧急电话4
1914|报警电话4
16694|急救电话4
11554|旅游警察4
ฝ่ายกงสุล4|领事部4
ขอความช่วยเหลือ4|请求帮助4
ติดต่อ4|联系4
ติดต่อสถานทูต4|联系大使馆4
ทำหนังสือเดินทางหาย4|护照丢失4
ทำกระเป๋าหาย4|行李丢失4
กระเป๋าแตก4|行李破损4
เที่ยวบินยกเลิก4|航班取消4
ล่าช้าหลายชั่วโมง4|延误数小时4
ห้องพัก4|住宿4
ที่พัก4|住处4
เต็นท์4|帐篷4
แคมป์4|营地4
บ้านพักตากอากาศ4|度假屋4
บนภูเขา4|山上4
ริมทะเล4|海边4
ในป่า4|森林里4
กลางทะเลทราย4|沙漠中4
รอบเกาะ4|环岛4
รอบเมือง4|环城4
沿着河4|沿着河4
ผ่านเขา4|翻山4
ลอดอุโมงค์4|穿隧道4
สนามบิน5|机场5
เที่ยวบิน5|航班5
ตั๋วเครื่องบิน5|机票5
หนังสือเดินทาง5|护照5
วีซ่า5|签证5
ด่านตรวจคนเข้าเมือง5|海关5
ตรวจหนังสือเดินทาง5|护照检查5
กระเป๋าเดินทาง5|行李箱5
กระเป๋าเป้5|背包5
กระเป๋าถือ5|手提包5
น้ำหนักเกิน5|超重5
登机牌5|登机牌5
ประตูขึ้นเครื่อง5|登机口5
เครื่องบิน5|飞机5
ห้องโดยสาร5|客舱5
ที่นั่ง5|座位5
หน้าต่าง5|窗户5
ทางเดิน5|过道5
เวลามาถึง5|到达时间5
เวลาออกเดินทาง5|出发时间5
ล่าช้า5|延误5
เปลี่ยนเที่ยวบิน5|转机5
เที่ยวบินตรง5|直飞5
โรงแรม5|酒店5
โมเตล5|汽车旅馆5
โฮสเทล5|青旅5
รีสอร์ท5|度假村5
บ้านพัก5|民宿5
ห้องเตียงคู่5|双人房5
ห้องเตียงเดี่ยว5|单人房5
ห้องครอบครัว5|家庭房5
ห้องสวีท5|套房5
อินเทอร์เน็ต5|互联网5
Wi-Fi5|无线网络5
ห้องอาหาร5|餐厅5
สระว่ายน้ำ5|游泳池5
สปา5|SPA馆5
ฟิตเนส5|健身中心5
ที่จอดรถ5|停车场5
แผนกต้อนรับ5|前台5
เช็คอิน5|入住5
เช็คเอาท์5|ออก5
อาหารเช้า5|早餐5
มินิบาร์5|迷你吧5
รถไฟ5|火车5
รถไฟฟ้า5|轻轨5
รถไฟใต้ดิน5|地铁5
รถบัส5|公共汽车5
รถตู้5|小巴5
รถแท็กซี่5|出租车5
มอเตอร์ไซค์5|摩托车5
เรือ5|船5
เรือข้ามฟาก5|渡轮5
เรือเร็ว5|快艇5
เช่ารถ5|租车5
ขับรถ5|开车5
จอดรถ5|停车5
ปั๊มน้ำมัน5|加油站5
ทางด่วน5|高速公路5
แผนที่5|地图5
GPS5|导航5
ไกด์5|导游5
ทัวร์5|旅行团5
ทัวร์ส่วนตัว5|私人团5
ทัวร์ครึ่งวัน5|半日游5
ทัวร์เต็มวัน5|全天游5
ล่องเรือ5|乘船游览5
เดินป่า5|徒步5
ปีนเขา5|爬山5
ดำน้ำ5|潜水5
ดำน้ำตื้น5|浮潜5
แล่นเรือ5|帆船5
โต้คลื่น5|冲浪5
ว่ายน้ำ5|游泳5
พายเรือ5|划船5
ตกปลา5|钓鱼5
ถ่ายรูป5|拍照5
วิดีโอ5|录像5
ของที่ระลึก5|纪念品5
ร้านของที่ระลึก5|纪念品店5
ตลาด5|市场5
ห้างสรรพสินค้า5|百货商店5
อาหาร5|食物5
อาหารท้องถิ่น5|当地菜5
อาหาร街头5|街头食品5
ร้านอาหาร5|餐厅5
สกุลเงิน5|货币5
แลกเงิน5|换钱5
เอทีเอ็ม5|ATM5
บัตรเครดิต5|信用卡5
เงินสด5|现金5
ประกันการเดินทาง5|旅行保险5
อุบัติเหตุ5|事故5
เจ็บป่วย5|生病5
โรงพยาบาล5|医院5
สถานทูต5|大使馆5
สถานกงสุล5|领事馆5
หมายเลขฉุกเฉิน5|紧急电话5
1915|报警电话5
16695|急救电话5
11555|旅游警察5
ฝ่ายกงสุล5|领事部5
ขอความช่วยเหลือ5|请求帮助5
ติดต่อ5|联系5
ติดต่อสถานทูต5|联系大使馆5
ทำหนังสือเดินทางหาย5|护照丢失5
ทำกระเป๋าหาย5|行李丢失5
กระเป๋าแตก5|行李破损5
เที่ยวบินยกเลิก5|航班取消5
ล่าช้าหลายชั่วโมง5|延误数小时5
ห้องพัก5|住宿5
ที่พัก5|住处5
เต็นท์5|帐篷5
แคมป์5|营地5
บ้านพักตากอากาศ5|度假屋5
บนภูเขา5|山上5
ริมทะเล5|海边5
ในป่า5|森林里5
กลางทะเลทราย5|沙漠中5
รอบเกาะ5|环岛5
รอบเมือง5|环城5
沿着河5|沿着河5
ผ่านเขา5|翻山5
ลอดอุโมงค์5|穿隧道5
สนามบิน6|机场6
เที่ยวบิน6|航班6
ตั๋วเครื่องบิน6|机票6
หนังสือเดินทาง6|护照6
วีซ่า6|签证6
ด่านตรวจคนเข้าเมือง6|海关6
ตรวจหนังสือเดินทาง6|护照检查6
กระเป๋าเดินทาง6|行李箱6
กระเป๋าเป้6|背包6
กระเป๋าถือ6|手提包6
น้ำหนักเกิน6|超重6
登机牌6|登机牌6
ประตูขึ้นเครื่อง6|登机口6
เครื่องบิน6|飞机6
ห้องโดยสาร6|客舱6
ที่นั่ง6|座位6
หน้าต่าง6|窗户6
ทางเดิน6|过道6
เวลามาถึง6|到达时间6
เวลาออกเดินทาง6|出发时间6
ล่าช้า6|延误6
เปลี่ยนเที่ยวบิน6|转机6
เที่ยวบินตรง6|直飞6
โรงแรม6|酒店6
โมเตล6|汽车旅馆6
โฮสเทล6|青旅6
รีสอร์ท6|度假村6
บ้านพัก6|民宿6
ห้องเตียงคู่6|双人房6
ห้องเตียงเดี่ยว6|单人房6
ห้องครอบครัว6|家庭房6
ห้องสวีท6|套房6
อินเทอร์เน็ต6|互联网6
Wi-Fi6|无线网络6
ห้องอาหาร6|餐厅6
สระว่ายน้ำ6|游泳池6
สปา6|SPA馆6
ฟิตเนส6|健身中心6
ที่จอดรถ6|停车场6
แผนกต้อนรับ6|前台6
เช็คอิน6|入住6
เช็คเอาท์6|ออก6
อาหารเช้า6|早餐6
มินิบาร์6|迷你吧6
รถไฟ6|火车6
รถไฟฟ้า6|轻轨6
รถไฟใต้ดิน6|地铁6
รถบัส6|公共汽车6
รถตู้6|小巴6
รถแท็กซี่6|出租车6
มอเตอร์ไซค์6|摩托车6
เรือ6|船6
เรือข้ามฟาก6|渡轮6
เรือเร็ว6|快艇6
เช่ารถ6|租车6
ขับรถ6|开车6
จอดรถ6|停车6
ปั๊มน้ำมัน6|加油站6
ทางด่วน6|高速公路6
แผนที่6|地图6
GPS6|导航6
ไกด์6|导游6
ทัวร์6|旅行团6
ทัวร์ส่วนตัว6|私人团6
ทัวร์ครึ่งวัน6|半日游6
ทัวร์เต็มวัน6|全天游6
ล่องเรือ6|乘船游览6
เดินป่า6|徒步6
ปีนเขา6|爬山6
ดำน้ำ6|潜水6
ดำน้ำตื้น6|浮潜6
แล่นเรือ6|帆船6
โต้คลื่น6|冲浪6
ว่ายน้ำ6|游泳6
พายเรือ6|划船6
ตกปลา6|钓鱼6
ถ่ายรูป6|拍照6
วิดีโอ6|录像6
ของที่ระลึก6|纪念品6
ร้านของที่ระลึก6|纪念品店6
ตลาด6|市场6
ห้างสรรพสินค้า6|百货商店6
อาหาร6|食物6
อาหารท้องถิ่น6|当地菜6
อาหาร街头6|街头食品6
ร้านอาหาร6|餐厅6
สกุลเงิน6|货币6
แลกเงิน6|换钱6
เอทีเอ็ม6|ATM6
บัตรเครดิต6|信用卡6
เงินสด6|现金6
ประกันการเดินทาง6|旅行保险6
อุบัติเหตุ6|事故6
เจ็บป่วย6|生病6
โรงพยาบาล6|医院6
สถานทูต6|大使馆6
สถานกงสุล6|领事馆6
หมายเลขฉุกเฉิน6|紧急电话6
1916|报警电话6
16696|急救电话6
11556|旅游警察6
ฝ่ายกงสุล6|领事部6
ขอความช่วยเหลือ6|请求帮助6
ติดต่อ6|联系6
ติดต่อสถานทูต6|联系大使馆6
ทำหนังสือเดินทางหาย6|护照丢失6
ทำกระเป๋าหาย6|行李丢失6
กระเป๋าแตก6|行李破损6
เที่ยวบินยกเลิก6|航班取消6
ล่าช้าหลายชั่วโมง6|延误数小时6
ห้องพัก6|住宿6
ที่พัก6|住处6
เต็นท์6|帐篷6
แคมป์6|营地6
บ้านพักตากอากาศ6|度假屋6
บนภูเขา6|山上6
ริมทะเล6|海边6
ในป่า6|森林里6
กลางทะเลทราย6|沙漠中6
รอบเกาะ6|环岛6
รอบเมือง6|环城6
沿着河6|沿着河6
ผ่านเขา6|翻山6
ลอดอุโมงค์6|穿隧道6
สนามบิน7|机场7
เที่ยวบิน7|航班7
ตั๋วเครื่องบิน7|机票7
หนังสือเดินทาง7|护照7
วีซ่า7|签证7
ด่านตรวจคนเข้าเมือง7|海关7
ตรวจหนังสือเดินทาง7|护照检查7
กระเป๋าเดินทาง7|行李箱7
กระเป๋าเป้7|背包7
กระเป๋าถือ7|手提包7
น้ำหนักเกิน7|超重7
登机牌7|登机牌7
ประตูขึ้นเครื่อง7|登机口7
เครื่องบิน7|飞机7
ห้องโดยสาร7|客舱7
ที่นั่ง7|座位7
หน้าต่าง7|窗户7
ทางเดิน7|过道7
เวลามาถึง7|到达时间7
เวลาออกเดินทาง7|出发时间7
ล่าช้า7|延误7
เปลี่ยนเที่ยวบิน7|转机7
เที่ยวบินตรง7|直飞7
โรงแรม7|酒店7
โมเตล7|汽车旅馆7
โฮสเทล7|青旅7
รีสอร์ท7|度假村7
บ้านพัก7|民宿7
ห้องเตียงคู่7|双人房7
ห้องเตียงเดี่ยว7|单人房7
ห้องครอบครัว7|家庭房7
ห้องสวีท7|套房7
อินเทอร์เน็ต7|互联网7
Wi-Fi7|无线网络7
ห้องอาหาร7|餐厅7
สระว่ายน้ำ7|游泳池7
สปา7|SPA馆7
ฟิตเนส7|健身中心7
ที่จอดรถ7|停车场7
แผนกต้อนรับ7|前台7
เช็คอิน7|入住7
เช็คเอาท์7|ออก7
อาหารเช้า7|早餐7
มินิบาร์7|迷你吧7
รถไฟ7|火车7
รถไฟฟ้า7|轻轨7
รถไฟใต้ดิน7|地铁7
รถบัส7|公共汽车7
รถตู้7|小巴7
รถแท็กซี่7|出租车7
มอเตอร์ไซค์7|摩托车7
เรือ7|船7
เรือข้ามฟาก7|渡轮7
เรือเร็ว7|快艇7
เช่ารถ7|租车7
ขับรถ7|开车7
จอดรถ7|停车7
ปั๊มน้ำมัน7|加油站7
ทางด่วน7|高速公路7
แผนที่7|地图7
GPS7|导航7
ไกด์7|导游7
ทัวร์7|旅行团7
ทัวร์ส่วนตัว7|私人团7
ทัวร์ครึ่งวัน7|半日游7
ทัวร์เต็มวัน7|全天游7
ล่องเรือ7|乘船游览7
