สุขภาพ|健康
ห้องจิตเวช|精神科
ห้องกายภาพ|物理治疗科
ห้องเภสัชกรรม|药房
หมอ|医生
พยาบาล|护士
ยา|药
ยาเม็ด|药片
ยาน้ำ|药水
ยาฉีด|注射药
ยาปฏิชีวนะ|抗生素
พาราเซตามอล|扑热息痛
ไอบูโพรเฟน|布洛芬
วิตามิน|维生素
ยาแก้แพ้|抗过敏药
อาการ|症状
เจ็บคอ|喉咙痛
ปวดฟัน|牙痛
ปวดท้อง|肚子痛
ปวดหลัง|背痛
ปวดเข่า|膝盖痛
ปวดไหล่|肩膀痛
ท้องเสีย|腹泻
หน้ามืด|眩晕
หอบ|喘气
หัวใจเต้นเร็ว|心跳加速
ความดันโลหิต|血压
น้ำตาลในเลือด|血糖
อ้วน|肥胖
ผอม|消瘦
เบื่ออาหาร|食欲不振
กินไม่ได้|吃不下
น้ำหนัก|体重
ออกกำลังกาย|锻炼
วิ่ง|跑步
ว่ายน้ำ|游泳
ปั่นจักรยาน|骑自行车
เดิน|走路
โยคะ|瑜伽
ยืดเหยียด|拉伸
ยกน้ำหนัก|举重
กายบริหาร|健身操
อาหารเพื่อสุขภาพ|健康食品
ผัก|蔬菜
ผลไม้|水果
ธัญพืช|谷物
โปรตีน|蛋白质
คาร์โบไฮเดรต|碳水化合物
ไขมันดี|好脂肪
ไฟเบอร์|纤维
แคลเซียม|钙
ธาตุเหล็ก|铁
แมกนีเซียม|镁
สังกะสี|锌
โพแทสเซียม|钾
วิตามินซี|维生素C
นอนหลับ|睡觉
พักผ่อน|休息
เครียด|压力
ผ่อนคลาย|放松
สมาธิ|冥想
สุขภาพจิต|心理健康
วิตกกังวล|焦虑
กลัว|害怕
อุบัติเหตุ|事故
บาดเจ็บ|受伤
ฟกช้ำ|淤青
ตกเลือด|出血
หัก|骨折
เคล็ดขัดยอก|扭伤
ไฟไหม้|烧伤
น้ำร้อนลวก|烫伤
ห้องแล็บ|化验室
เอกซเรย์|X光
ฉีดวัคซีน|打疫苗
วัคซีน|疫苗
ป้องกัน|预防
ทำความสะอาด|清洁
ล้างมือ|洗手
สวมหน้ากาก|戴口罩
เว้นระยะห่าง|保持距离
กักตัว|隔离
ตรวจสุขภาพ|体检
ตรวจเลือด|验血
ตรวจปัสสาวะ|验尿
ซีทีสแกน|CT扫描
MRI|磁共振
อัลตราซาวด์|超声波
ผลตรวจ|检查结果
วินิจฉัย|诊断
รักษา|治疗
ผ่าตัด|手术
ทำกายภาพ|理疗
ฝังเข็ม|针灸
นวด|按摩
สปา|SPA
น้ำมันหอมระเหย|精油
สมุนไพร|草药
แผนโบราณ|传统疗法
แผนปัจจุบัน|现代疗法
แพทย์แผนไทย|泰医
แพทย์แผนจีน|中医
สุขอนามัย|卫生
ฆ่าเชื้อ|消毒
ASTE|卫生
 cigaret|烟
บุหรี่|香烟
สูบบุหรี่|吸烟
ดื่มสุรา|喝酒
เสพยา|吸毒
โภชนาการ|营养
พลังงาน|能量
แคลอรี|卡路ี
สารอาหาร|营养素
สุขภาพ2|健康2
หมอ2|医生2
พยาบาล2|护士2
โรงพยาบาล2|医院2
คลินิก2|诊所2
ยา2|药2
ยาเม็ด2|药片2
ยาน้ำ2|药水2
ยาฉีด2|注射药2
ยาปฏิชีวนะ2|抗生素2
พาราเซตามอล2|扑热息痛2
ไอบูโพรเฟน2|布洛芬2
วิตามิน2|维生素2
ยาแก้แพ้2|抗过敏药2
อาการ2|症状2
ไข้2|发烧2
ไอ2|咳嗽2
จาม2|打喷嚏2
เจ็บคอ2|喉咙痛2
ปวดหัว2|头痛2
ปวดฟัน2|牙痛2
ปวดท้อง2|肚子痛2
ปวดหลัง2|背痛2
ปวดเข่า2|膝盖痛2
ปวดไหล่2|肩膀痛2
ท้องเสีย2|腹泻2
อาเจียน2|呕吐2
วิงเวียน2|头晕2
หน้ามืด2|眩晕2
นอนไม่หลับ2|失眠2
เหนื่อยง่าย2|容易累2
หอบ2|喘气2
หัวใจเต้นเร็ว2|心跳加速2
ความดันโลหิต2|血压2
น้ำตาลในเลือด2|血糖2
คอเลสเตอรอล2|胆固醇2
ไขมัน2|脂肪2
อ้วน2|肥胖2
ผอม2|消瘦2
เบื่ออาหาร2|食欲不振2
กินไม่ได้2|吃不下2
น้ำหนัก2|体重2
ออกกำลังกาย2|锻炼2
วิ่ง2|跑步2
ว่ายน้ำ2|游泳2
ปั่นจักรยาน2|骑自行车2
เดิน2|走路2
โยคะ2|瑜伽2
ยืดเหยียด2|拉伸2
ยกน้ำหนัก2|举重2
กายบริหาร2|健身操2
อาหารเพื่อสุขภาพ2|健康食品2
ผัก2|蔬菜2
ผลไม้2|水果2
ธัญพืช2|谷物2
โปรตีน2|蛋白质2
คาร์โบไฮเดรต2|碳水化合物2
ไขมันดี2|好脂肪2
ไฟเบอร์2|纤维2
แคลเซียม2|钙2
ธาตุเหล็ก2|铁2
แมกนีเซียม2|镁2
สังกะสี2|锌2
โพแทสเซียม2|钾2
วิตามินซี2|维生素C2
นอนหลับ2|睡觉2
พักผ่อน2|休息2
เครียด2|压力2
ผ่อนคลาย2|放松2
สมาธิ2|冥想2
สุขภาพจิต2|心理健康2
ซึมเศร้า2|抑郁2
วิตกกังวล2|焦虑2
กลัว2|害怕2
อุบัติเหตุ2|事故2
บาดเจ็บ2|受伤2
ฟกช้ำ2|淤青2
แผล2|伤口2
ตกเลือด2|出血2
หัก2|骨折2
เคล็ดขัดยอก2|扭伤2
ไฟไหม้2|烧伤2
น้ำร้อนลวก2|烫伤2
ห้องฉุกเฉิน2|急诊室2
ห้องผ่าตัด2|手术室2
ห้องแล็บ2|化验室2
เอกซเรย์2|X光2
ฉีดวัคซีน2|打疫苗2
วัคซีน2|疫苗2
ป้องกัน2|预防2
ทำความสะอาด2|清洁2
ล้างมือ2|洗手2
สวมหน้ากาก2|戴口罩2
เว้นระยะห่าง2|保持距离2
กักตัว2|隔离2
ตรวจสุขภาพ2|体检2
ตรวจเลือด2|验血2
ตรวจปัสสาวะ2|验尿2
ซีทีสแกน2|CT扫描2
MRI2|磁共振2
อัลตราซาวด์2|超声波2
ผลตรวจ2|检查结果2
วินิจฉัย2|诊断2
รักษา2|治疗2
ผ่าตัด2|手术2
ทำกายภาพ2|理疗2
ฝังเข็ม2|针灸2
นวด2|按摩2
สปา2|SPA2
น้ำมันหอมระเหย2|精油2
สมุนไพร2|草药2
แผนโบราณ2|传统疗法2
แผนปัจจุบัน2|现代疗法2
แพทย์แผนไทย2|泰医2
แพทย์แผนจีน2|中医2
ฝังเข็ม3|针灸3
สุขอนามัย2|卫生2
ทำความสะอาด3|清洁3
ฆ่าเชื้อ2|消毒2
ASTE2|卫生2
 cigaret2|烟2
บุหรี่2|香烟2
สูบบุหรี่2|吸烟2
ดื่มสุรา2|喝酒2
เสพยา2|吸毒2
โภชนาการ2|营养2
พลังงาน2|能量2
แคลอรี2|卡路ี2
สารอาหาร2|营养素2
สุขภาพ3|健康3
หมอ3|医生3
พยาบาล3|护士3
โรงพยาบาล3|医院3
คลินิก3|诊所3
ยา3|药3
ยาเม็ด3|药片3
ยาน้ำ3|药水3
ยาฉีด3|注射药3
ยาปฏิชีวนะ3|抗生素3
พาราเซตามอล3|扑热息痛3
ไอบูโพรเฟน3|布洛芬3
วิตามิน3|维生素3
ยาแก้แพ้3|抗过敏药3
อาการ3|症状3
ไข้3|发烧3
ไอ3|咳嗽3
จาม3|打喷嚏3
เจ็บคอ3|喉咙痛3
ปวดหัว3|头痛3
ปวดฟัน3|牙痛3
ปวดท้อง3|肚子痛3
ปวดหลัง3|背痛3
ปวดเข่า3|膝盖痛3
ปวดไหล่3|肩膀痛3
ท้องเสีย3|腹泻3
อาเจียน3|呕吐3
วิงเวียน3|头晕3
หน้ามืด3|眩晕3
นอนไม่หลับ3|失眠3
เหนื่อยง่าย3|容易累3
หอบ3|喘气3
หัวใจเต้นเร็ว3|心跳加速3
ความดันโลหิต3|血压3
น้ำตาลในเลือด3|血糖3
คอเลสเตอรอล3|胆固醇3
ไขมัน3|脂肪3
อ้วน3|肥胖3
ผอม3|消瘦3
เบื่ออาหาร3|食欲不振3
กินไม่ได้3|吃不下3
น้ำหนัก3|体重3
ออกกำลังกาย3|锻炼3
วิ่ง3|跑步3
ว่ายน้ำ3|游泳3
ปั่นจักรยาน3|骑自行车3
เดิน3|走路3
โยคะ3|瑜伽3
ยืดเหยียด3|拉伸3
ยกน้ำหนัก3|举重3
กายบริหาร3|健身操3
อาหารเพื่อสุขภาพ3|健康食品3
ผัก3|蔬菜3
ผลไม้3|水果3
ธัญพืช3|谷物3
โปรตีน3|蛋白质3
คาร์โบไฮเดรต3|碳水化合物3
ไขมันดี3|好脂肪3
ไฟเบอร์3|纤维3
แคลเซียม3|钙3
ธาตุเหล็ก3|铁3
แมกนีเซียม3|镁3
สังกะสี3|锌3
โพแทสเซียม3|钾3
วิตามินซี3|维生素C3
นอนหลับ3|睡觉3
พักผ่อน3|休息3
เครียด3|压力3
ผ่อนคลาย3|放松3
สมาธิ3|冥想3
สุขภาพจิต3|心理健康3
ซึมเศร้า3|抑郁3
วิตกกังวล3|焦虑3
กลัว3|害怕3
อุบัติเหตุ3|事故3
บาดเจ็บ3|受伤3
ฟกช้ำ3|淤青3
แผล3|伤口3
ตกเลือด3|出血3
หัก3|骨折3
เคล็ดขัดยอก3|扭伤3
ไฟไหม้3|烧伤3
น้ำร้อนลวก3|烫伤3
ห้องฉุกเฉิน3|急诊室3
ห้องผ่าตัด3|手术室3
ห้องแล็บ3|化验室3
เอกซเรย์3|X光3
ฉีดวัคซีน3|打疫苗3
วัคซีน3|疫苗3
ป้องกัน3|预防3
ทำความสะอาด4|清洁4
ล้างมือ3|洗手3
สวมหน้ากาก3|戴口罩3
เว้นระยะห่าง3|保持距离3
กักตัว3|隔离3
ตรวจสุขภาพ3|体检3
ตรวจเลือด3|验血3
ตรวจปัสสาวะ3|验尿3
ซีทีสแกน3|CT扫描3
MRI3|磁共振3
อัลตราซาวด์3|超声波3
ผลตรวจ3|检查结果3
วินิจฉัย3|诊断3
รักษา3|治疗3
ผ่าตัด3|手术3
ทำกายภาพ3|理疗3
ฝังเข็ม4|针灸4
นวด3|按摩3
สปา3|SPA3
น้ำมันหอมระเหย3|精油3
สมุนไพร3|草药3
แผนโบราณ3|传统疗法3
แผนปัจจุบัน3|现代疗法3
แพทย์แผนไทย3|泰医3
แพทย์แผนจีน3|中医3
ฝังเข็ม5|针灸5
สุขอนามัย3|卫生3
ทำความสะอาด5|清洁5
ฆ่าเชื้อ3|消毒3
ASTE3|卫生3
 cigaret3|烟3
บุหรี่3|香烟3
สูบบุหรี่3|吸烟3
ดื่มสุรา3|喝酒3
เสพยา3|吸毒3
โภชนาการ3|营养3
พลังงาน3|能量3
แคลอรี3|卡路ี3
สารอาหาร3|营养素3
สุขภาพ4|健康4
หมอ4|医生4
พยาบาล4|护士4
โรงพยาบาล4|医院4
คลินิก4|诊所4
ยา4|药4
ยาเม็ด4|药片4
ยาน้ำ4|药水4
ยาฉีด4|注射药4
ยาปฏิชีวนะ4|抗生素4
พาราเซตามอล4|扑热息痛4
ไอบูโพรเฟน4|布洛芬4
วิตามิน4|维生素4
ยาแก้แพ้4|抗过敏药4
อาการ4|症状4
ไข้4|发烧4
ไอ4|咳嗽4
จาม4|打喷嚏4
เจ็บคอ4|喉咙痛4
ปวดหัว4|头痛4
ปวดฟัน4|牙痛4
ปวดท้อง4|肚子痛4
ปวดหลัง4|背痛4
ปวดเข่า4|膝盖痛4
ปวดไหล่4|肩膀痛4
ท้องเสีย4|腹泻4
อาเจียน4|呕吐4
วิงเวียน4|头晕4
หน้ามืด4|眩晕4
นอนไม่หลับ4|失眠4
เหนื่อยง่าย4|容易累4
หอบ4|喘气4
หัวใจเต้นเร็ว4|心跳加速4
ความดันโลหิต4|血压4
น้ำตาลในเลือด4|血糖4
คอเลสเตอรอล4|胆固醇4
ไขมัน4|脂肪4
อ้วน4|肥胖4
ผอม4|消瘦4
เบื่ออาหาร4|食欲不振4
กินไม่ได้4|吃不下4
น้ำหนัก4|体重4
ออกกำลังกาย4|锻炼4
วิ่ง4|跑步4
ว่ายน้ำ4|游泳4
ปั่นจักรยาน4|骑自行车4
เดิน4|走路4
โยคะ4|瑜伽4
ยืดเหยียด4|拉伸4
ยกน้ำหนัก4|举重4
กายบริหาร4|健身操4
อาหารเพื่อสุขภาพ4|健康食品4
ผัก4|蔬菜4
ผลไม้4|水果4
ธัญพืช4|谷物4
โปรตีน4|蛋白质4
คาร์โบไฮเดรต4|碳水化合物4
ไขมันดี4|好脂肪4
ไฟเบอร์4|纤维4
แคลเซียม4|钙4
ธาตุเหล็ก4|铁4
แมกนีเซียม4|镁4
สังกะสี4|锌4
โพแทสเซียม4|钾4
วิตามินซี4|维生素C4
นอนหลับ4|睡觉4
พักผ่อน4|休息4
เครียด4|压力4
ผ่อนคลาย4|放松4
สมาธิ4|冥想4
สุขภาพจิต4|心理健康4
ซึมเศร้า4|抑郁4
วิตกกังวล4|焦虑4
กลัว4|害怕4
อุบัติเหตุ4|事故4
บาดเจ็บ4|受伤4
ฟกช้ำ4|淤青4
แผล4|伤口4
ตกเลือด4|出血4
หัก4|骨折4
เคล็ดขัดยอก4|扭伤4
ไฟไหม้4|烧伤4
น้ำร้อนลวก4|烫伤4
ห้องฉุกเฉิน4|急诊室4
ห้องผ่าตัด4|手术室4
ห้องแล็บ4|化验室4
เอกซเรย์4|X光4
ฉีดวัคซีน4|打疫苗4
วัคซีน4|疫苗4
ป้องกัน4|预防4
ทำความสะอาด6|清洁6
ล้างมือ4|洗手4
สวมหน้ากาก4|戴口罩4
เว้นระยะห่าง4|保持距离4
กักตัว4|隔离4
ตรวจสุขภาพ4|体检4
ตรวจเลือด4|验血4
ตรวจปัสสาวะ4|验尿4
ซีทีสแกน4|CT扫描4
MRI4|磁共振4
อัลตราซาวด์4|超声波4
ผลตรวจ4|检查结果4
วินิจฉัย4|诊断4
รักษา4|治疗4
ผ่าตัด4|手术4
ทำกายภาพ4|理疗4
ฝังเข็ม6|针灸6
นวด4|按摩4
สปา4|SPA4
น้ำมันหอมระเหย4|精油4
สมุนไพร4|草药4
แผนโบราณ4|传统疗法4
แผนปัจจุบัน4|现代疗法4
แพทย์แผนไทย4|泰医4
แพทย์แผนจีน4|中医4
ฝังเข็ม7|针灸7
สุขอนามัย4|卫生4
ทำความสะอาด7|清洁7
ฆ่าเชื้อ4|消毒4
ASTE4|卫生4
 cigaret4|烟4
บุหรี่4|香烟4
สูบบุหรี่4|吸烟4
ดื่มสุรา4|喝酒4
เสพยา4|吸毒4
โภชนาการ4|营养4
พลังงาน4|能量4
แคลอรี4|卡路ี4
สารอาหาร4|营养素4
สุขภาพ5|健康5
หมอ5|医生5
พยาบาล5|护士5
โรงพยาบาล5|医院5
คลินิก5|诊所5
ยา5|药5
ยาเม็ด5|药片5
ยาน้ำ5|药水5
ยาฉีด5|注射药5
ยาปฏิชีวนะ5|抗生素5
พาราเซตามอล5|扑热息痛5
ไอบูโพรเฟน5|布洛芬5
วิตามิน5|维生素5
ยาแก้แพ้5|抗过敏药5
อาการ5|症状5
ไข้5|发烧5
ไอ5|咳嗽5
จาม5|打喷嚏5
เจ็บคอ5|喉咙痛5
ปวดหัว5|头痛5
ปวดฟัน5|牙痛5
ปวดท้อง5|肚子痛5
ปวดหลัง5|背痛5
ปวดเข่า5|膝盖痛5
ปวดไหล่5|肩膀痛5
ท้องเสีย5|腹泻5
อาเจียน5|呕吐5
วิงเวียน5|头晕5
หน้ามืด5|眩晕5
นอนไม่หลับ5|失眠5
เหนื่อยง่าย5|容易累5
หอบ5|喘气5
หัวใจเต้นเร็ว5|心跳加速5
ความดันโลหิต5|血压5
น้ำตาลในเลือด5|血糖5
คอเลสเตอรอล5|胆固醇5
ไขมัน5|脂肪5
อ้วน5|肥胖5
ผอม5|消瘦5
เบื่ออาหาร5|食欲不振5
กินไม่ได้5|吃不下5
น้ำหนัก5|体重5
ออกกำลังกาย5|锻炼5
วิ่ง5|跑步5
ว่ายน้ำ5|游泳5
ปั่นจักรยาน5|骑自行车5
เดิน5|走路5
โยคะ5|瑜伽5
ยืดเหยียด5|拉伸5
ยกน้ำหนัก5|举重5
กายบริหาร5|健身操5
อาหารเพื่อสุขภาพ5|健康食品5
ผัก5|蔬菜5
ผลไม้5|水果5
ธัญพืช5|谷物5
โปรตีน5|蛋白质5
คาร์โบไฮเดรต5|碳水化合物5
ไขมันดี5|好脂肪5
ไฟเบอร์5|纤维5
แคลเซียม5|钙5
ธาตุเหล็ก5|铁5
แมกนีเซียม5|镁5
สังกะสี5|锌5
โพแทสเซียม5|钾5
วิตามินซี5|维生素C5
นอนหลับ5|睡觉5
พักผ่อน5|休息5
เครียด5|压力5
ผ่อนคลาย5|放松5
สมาธิ5|冥想5
สุขภาพจิต5|心理健康5
ซึมเศร้า5|抑郁5
วิตกกังวล5|焦虑5
กลัว5|害怕5
อุบัติเหตุ5|事故5
บาดเจ็บ5|受伤5
ฟกช้ำ5|淤青5
แผล5|伤口5
ตกเลือด5|出血5
หัก5|骨折5
เคล็ดขัดยอก5|扭伤5
ไฟไหม้5|烧伤5
น้ำร้อนลวก5|烫伤5
ห้องฉุกเฉิน5|急诊室5
ห้องผ่าตัด5|手术室5
ห้องแล็บ5|化验室5
เอกซเรย์5|X光5
ฉีดวัคซีน5|打疫苗5
วัคซีน5|疫苗5
ป้องกัน5|预防5
ทำความสะอาด8|清洁8
ล้างมือ5|洗手5
สวมหน้ากาก5|戴口罩5
เว้นระยะห่าง5|保持距离5
กักตัว5|隔离5
ตรวจสุขภาพ5|体检5
ตรวจเลือด5|验血5
ตรวจปัสสาวะ5|验尿5
ซีทีสแกน5|CT扫描5
MRI5|磁共振5
อัลตราซาวด์5|超声波5
ผลตรวจ5|检查结果5
วินิจฉัย5|诊断5
รักษา5|治疗5
ผ่าตัด5|手术5
ทำกายภาพ5|理疗5
ฝังเข็ม8|针灸8
นวด5|按摩5
สปา5|SPA5
น้ำมันหอมระเหย5|精油5
สมุนไพร5|草药5
แผนโบราณ5|传统疗法5
แผนปัจจุบัน5|现代疗法5
แพทย์แผนไทย5|泰医5
แพทย์แผนจีน5|中医5
ฝังเข็ม9|针灸9
สุขอนามัย5|卫生5
ทำความสะอาด9|清洁9
ฆ่าเชื้อ5|消毒5
ASTE5|卫生5
 cigaret5|烟5
บุหรี่5|香烟5
สูบบุหรี่5|吸烟5
ดื่มสุรา5|喝酒5
เสพยา5|吸毒5
โภชนาการ5|营养5
พลังงาน5|能量5
แคลอรี5|卡路ี5
สารอาหาร5|营养素5
สุขภาพ6|健康6
หมอ6|医生6
พยาบาล6|护士6
โรงพยาบาล6|医院6
คลินิก6|诊所6
ยา6|药6
ยาเม็ด6|药片6
ยาน้ำ6|药水6
ยาฉีด6|注射药6
ยาปฏิชีวนะ6|抗生素6
พาราเซตามอล6|扑热息痛6
ไอบูโพรเฟน6|布洛芬6
วิตามิน6|维生素6
ยาแก้แพ้6|抗过敏药6
อาการ6|症状6
ไข้6|发烧6
ไอ6|咳嗽6
จาม6|打喷嚏6
เจ็บคอ6|喉咙痛6
ปวดหัว6|头痛6
ปวดฟัน6|牙痛6
ปวดท้อง6|肚子痛6
ปวดหลัง6|背痛6
ปวดเข่า6|膝盖痛6
ปวดไหล่6|肩膀痛6
ท้องเสีย6|腹泻6
อาเจียน6|呕吐6
วิงเวียน6|头晕6
หน้ามืด6|眩晕6
นอนไม่หลับ6|失眠6
เหนื่อยง่าย6|容易累6
หอบ6|喘气6
หัวใจเต้นเร็ว6|心跳加速6
ความดันโลหิต6|血压6
น้ำตาลในเลือด6|血糖6
คอเลสเตอรอล6|胆固醇6
ไขมัน6|脂肪6
อ้วน6|肥胖6
ผอม6|消瘦6
เบื่ออาหาร6|食欲不振6
กินไม่ได้6|吃不下6
น้ำหนัก6|体重6
ออกกำลังกาย6|锻炼6
วิ่ง6|跑步6
ว่ายน้ำ6|游泳6
ปั่นจักรยาน6|骑自行车6
เดิน6|走路6
โยคะ6|瑜伽6
ยืดเหยียด6|拉伸6
ยกน้ำหนัก6|举重6
กายบริหาร6|健身操6
อาหารเพื่อสุขภาพ6|健康食品6
ผัก6|蔬菜6
ผลไม้6|水果6
ธัญพืช6|谷物6
โปรตีน6|蛋白质6
คาร์โบไฮเดรต6|碳水化合物6
ไขมันดี6|好脂肪6
ไฟเบอร์6|纤维6
แคลเซียม6|钙6
ธาตุเหล็ก6|铁6
แมกนีเซียม6|镁6
สังกะสี6|锌6
โพแทสเซียม6|钾6
วิตามินซี6|维生素C6
นอนหลับ6|睡觉6
พักผ่อน6|休息6
เครียด6|压力6
ผ่อนคลาย6|放松6
สมาธิ6|冥想6
สุขภาพจิต6|心理健康6
ซึมเศร้า6|抑郁6
วิตกกังวล6|焦虑6
กลัว6|害怕6
อุบัติเหตุ6|事故6
บาดเจ็บ6|受伤6
ฟกช้ำ6|淤青6
แผล6|伤口6
ตกเลือด6|出血6
หัก6|骨折6
เคล็ดขัดยอก6|扭伤6
ไฟไหม้6|烧伤6
น้ำร้อนลวก6|烫伤6
ห้องฉุกเฉิน6|急诊室6
ห้องผ่าตัด6|手术室6
ห้องแล็บ6|化验室6
เอกซเรย์6|X光6
ฉีดวัคซีน6|打疫苗6
วัคซีน6|疫苗6
ป้องกัน6|预防6
ทำความสะอาด10|清洁10
ล้างมือ6|洗手6
สวมหน้ากาก6|戴口罩6
เว้นระยะห่าง6|保持距离6
กักตัว6|隔离6
ตรวจสุขภาพ6|体检6
ตรวจเลือด6|验血6
ตรวจปัสสาวะ6|验尿6
ซีทีสแกน6|CT扫描6
MRI6|磁共振6
อัลตราซาวด์6|超声波6
ผลตรวจ6|检查结果6
วินิจฉัย6|诊断6
รักษา6|治疗6
ผ่าตัด6|手术6
ทำกายภาพ6|理疗6
ฝังเข็ม10|针灸10
นวด6|按摩6
สปา6|SPA6
น้ำมันหอมระเหย6|精油6
สมุนไพร6|草药6
แผนโบราณ6|传统疗法6
แผนปัจจุบัน6|现代疗法6
แพทย์แผนไทย6|泰医6
แพทย์แผนจีน6|中医6
ฝังเข็ม11|针灸11
สุขอนามัย6|卫生6
ทำความสะอาด11|清洁11
ฆ่าเชื้อ6|消毒6
ASTE6|卫生6
 cigaret6|烟6
บุหรี่6|香烟6
สูบบุหรี่6|吸烟6
ดื่มสุรา6|喝酒6
เสพยา6|吸毒6
โภชนาการ6|营养6
พลังงาน6|能量6
แคลอรี6|卡路ี6
สารอาหาร6|营养素6
สุขภาพ7|健康7
หมอ7|医生7
พยาบาล7|护士7
โรงพยาบาล7|医院7
คลินิก7|诊所7
ยา7|药7
ยาเม็ด7|药片7
ยาน้ำ7|药水7
ยาฉีด7|注射药7
ยาปฏิชีวนะ7|抗生素7
พาราเซตามอล7|扑热息痛7
ไอบูโพรเฟน7|布洛芬7
วิตามิน7|维生素7
ยาแก้แพ้7|抗过敏药7
อาการ7|症状7
ไข้7|发烧7
ไอ7|咳嗽7
จาม7|打喷嚏7
เจ็บคอ7|喉咙痛7
ปวดหัว7|头痛7
ปวดฟัน7|牙痛7
ปวดท้อง7|肚子痛7
ปวดหลัง7|背痛7
ปวดเข่า7|膝盖痛7
ปวดไหล่7|肩膀痛7
ท้องเสีย7|腹泻7
อาเจียน7|呕吐7
วิงเวียน7|头晕7
หน้ามืด7|眩晕7
นอนไม่หลับ7|失眠7
เหนื่อยง่าย7|容易累7
หอบ7|喘气7
หัวใจเต้นเร็ว7|心跳加速7
ความดันโลหิต7|血压7
น้ำตาลในเลือด7|血糖7
คอเลสเตอรอล7|胆固醇7
ไขมัน7|脂肪7
อ้วน7|肥胖7
ผอม7|消瘦7
เบื่ออาหาร7|食欲不振7
กินไม่ได้7|吃不下7
น้ำหนัก7|体重7
ออกกำลังกาย7|锻炼7
วิ่ง7|跑步7
ว่ายน้ำ7|游泳7
ปั่นจักรยาน7|骑自行车7
เดิน7|走路7
โยคะ7|瑜伽7
ยืดเหยียด7|拉伸7
ยกน้ำหนัก7|举重7
กายบริหาร7|健身操7
อาหารเพื่อสุขภาพ7|健康食品7
ผัก7|蔬菜7
ผลไม้7|水果7
ธัญพืช7|谷物7
โปรตีน7|蛋白质7
คาร์โบไฮเดรต7|碳水化合物7
ไขมันดี7|好脂肪7
ไฟเบอร์7|纤维7
แคลเซียม7|钙7
ธาตุเหล็ก7|铁7
แมกนีเซียม7|镁7
สังกะสี7|锌7
โพแทสเซียม7|钾7
วิตามินซี7|维生素C7
นอนหลับ7|睡觉7
พักผ่อน7|休息7
เครียด7|压力7
ผ่อนคลาย7|放松7
สมาธิ7|冥想7
สุขภาพจิต7|心理健康7
ซึมเศร้า7|抑郁7
วิตกกังวล7|焦虑7
กลัว7|害怕7
อุบัติเหตุ7|事故7
บาดเจ็บ7|受伤7
ฟกช้ำ7|淤青7
แผล7|伤口7
