ซื้อ|买
ซื้อสองแถมหนึ่ง|买二送一
ซื้อ2|买2
ขาย2|卖2
ราคา2|价格2
ถูก2|便宜2
แพง2|贵2
ลดราคา2|打折2
ส่วนลด2|折扣2
ลด2|减少2
เพิ่ม2|增加2
จ่ายเงิน2|付款2
เงินสด2|现金2
บัตรเครดิต2|信用卡2
โอนเงิน2|转账2
QR Code2|二维码2
ใบเสร็จ2|收据2
ใบกำกับภาษี2|发票2
SIZE2|尺寸2
ไซส์2|尺寸2
เล็ก2|小2
กลาง2|中2
ใหญ่2|大2
เล็กมาก2|超小2
ใหญ่มาก2|超大2
สี2|颜色2
สีแดง2|红色2
สีน้ำเงิน2|蓝色2
สีเขียว2|绿色2
สีดำ2|黑色2
สีขาว2|白色2
แบบ2|款式2
ใหม่2|新2
เก่า2|旧2
ล่าสุด2|最新2
รุ่น2|型号2
รุ่นใหม่2|新款2
ร้าน2|店铺2
ห้างสรรพสินค้า2|百货商场2
ซุปเปอร์มาร์เก็ต2|超市2
ตลาด2|市场2
ตลาดนัด2|跳蚤市场2
ตลาดกลางคืน2|夜市2
ออนไลน์2|网上2
แอป2|App2
สินค้า2|商品2
สินค้าลดราคา2|打折商品2
สินค้าหมด2|售罄2
มีของ2|有货2
หมด2|没货2
สั่งซื้อ2|订购2
สั่งออนไลน์2|网上订购2
สั่งล่วงหน้า2|预订2
จัดส่ง2|配送2
จัดส่งฟรี2|免运费2
ส่งด่วน2|快递2
ส่ง EMS2|EMS快递2
จัดส่งภายในวัน2|当日达2
ส่งคืน2|退货2
เปลี่ยนสินค้า2|换货2
คืนเงิน2|退款2
รับประกัน2|保修2
 гарантія2|保修2
สินค้ามีปัญหา2|有问题的商品2
ชำรุด2|损坏2
ไม่ตรงปก2|货不对板2
ของแท้2|正品2
ของปลอม2|假货2
ลอกเลียนแบบ2|仿冒2
Brand2|品牌2
ยี่ห้อ2|品牌2
เสื้อผ้า2|衣服2
กางเกง2|裤子2
กระโปรง2|裙子2
ชุด2|套装2
เสื้อยืด2|T恤2
เสื้อเชิ้ต2|衬衫2
เสื้อกันหนาว2|外套2
แจ็คเก็ต2|夹克2
ชุดชั้นใน2|内衣2
รองเท้า2|鞋子2
รองเท้าผ้าใบ2|运动鞋2
รองเท้าส้นสูง2|高跟鞋2
รองเท้าแตะ2|拖鞋2
หมวก2|帽子2
แว่นตา2|眼镜2
แว่นกันแดด2|太阳镜2
นาฬิกา2|手表2
สร้อยคอ2|项链2
ต่างหู2|耳环2
แหวน2|戒指2
กำไล2|手镯2
กระเป๋า2|包2
กระเป๋าสตางค์2|钱包2
กระเป๋าสะพาย2|挎包2
เป้2|背包2
เครื่องสำอาง2|化妆品2
ลิปสติก2|口红2
บลัชออน2|腮红2
มาสคาร่า2|睫毛膏2
อายแชโดว์2|眼影2
foundation2|粉底液2
ครีมกันแดด2|防晒霜2
ครีมบำรุงผิว2|护肤霜2
เซรั่ม2|精华2
มอยเจอร์ไรเซอร์2|保湿霜2
น้ำหอม2|香水2
สบู่2|肥皂2
แชมพู2|洗发水2
คอนดิชันเนอร์2|护发素2
แป้ง2|粉2
อุปกรณ์ไฟฟ้า2|电器2
โทรศัพท์2|手机2
หูฟัง2|耳机2
ลำโพง2|扬声器2
สายชาร์จ2|充电线2
Case2|保护套2
ฟิล์ม2|屏幕保护膜2
Power Bank2|充电宝2
สาย HDMI2|HDMI线2
อุปกรณ์ครัว2|厨房用品2
หม้อ2|锅2
กระทะ2|平底锅2
มีด2|刀2
เขียง2|砧板2
จาน2|盘子2
ชาม2|碗2
ช้อน2|勺子2
ส้อม2|叉子2
ตะเกียบ2|筷子2
แก้ว2|杯子2
แก้วน้ำ2|水杯2
แก้วกาแฟ2|咖啡杯2
กระติกน้ำ2|保温杯2
ขวดน้ำ2|水瓶2
ลองดู2|看看2
ขอมาดู2|看看2
ใส่ได้ไหม2|能试穿吗2
ห้องลอง2|试衣间2
ห้องน้ำ2|卫生间2
จ่ายเงินที่ไหน2|在哪里付款2
คิดเงิน2|结账2
คูปอง2|优惠券2
โปรโมชั่น2|促销2
ของแถม2|赠品2
ซื้อหนึ่งแถมหนึ่ง2|买一送一2
ซื้อสองแถมหนึ่ง2|买二送一2
ซื้อ3|买3
ขาย3|卖3
ราคา3|价格3
ถูก3|便宜3
แพง3|贵3
ลดราคา3|打折3
ส่วนลด3|折扣3
ลด3|减少3
เพิ่ม3|增加3
จ่ายเงิน3|付款3
เงินสด3|现金3
บัตรเครดิต3|信用卡3
โอนเงิน3|转账3
QR Code3|二维码3
ใบเสร็จ3|收据3
ใบกำกับภาษี3|发票3
SIZE3|尺寸3
ไซส์3|尺寸3
เล็ก3|小3
กลาง3|中3
ใหญ่3|大3
เล็กมาก3|超小3
ใหญ่มาก3|超大3
สี3|颜色3
สีแดง3|红色3
สีน้ำเงิน3|蓝色3
สีเขียว3|绿色3
สีดำ3|黑色3
สีขาว3|白色3
แบบ3|款式3
ใหม่3|新3
เก่า3|旧3
ล่าสุด3|最新3
รุ่น3|型号3
รุ่นใหม่3|新款3
ร้าน3|店铺3
ห้างสรรพสินค้า3|百货商场3
ซุปเปอร์มาร์เก็ต3|超市3
ตลาด3|市场3
ตลาดนัด3|跳蚤市场3
ตลาดกลางคืน3|夜市3
ออนไลน์3|网上3
แอป3|App3
สินค้า3|商品3
สินค้าลดราคา3|打折商品3
สินค้าหมด3|售罄3
มีของ3|有货3
หมด3|没货3
สั่งซื้อ3|订购3
สั่งออนไลน์3|网上订购3
สั่งล่วงหน้า3|预订3
จัดส่ง3|配送3
จัดส่งฟรี3|免运费3
ส่งด่วน3|快递3
ส่ง EMS3|EMS快递3
จัดส่งภายในวัน3|当日达3
ส่งคืน3|退货3
เปลี่ยนสินค้า3|换货3
คืนเงิน3|退款3
รับประกัน3|保修3
 гарантія3|保修3
สินค้ามีปัญหา3|有问题的商品3
ชำรุด3|损坏3
ไม่ตรงปก3|货不对板3
ของแท้3|正品3
ของปลอม3|假货3
ลอกเลียนแบบ3|仿冒3
Brand3|品牌3
ยี่ห้อ3|品牌3
เสื้อผ้า3|衣服3
กางเกง3|裤子3
กระโปรง3|裙子3
ชุด3|套装3
เสื้อยืด3|T恤3
เสื้อเชิ้ต3|衬衫3
เสื้อกันหนาว3|外套3
แจ็คเก็ต3|夹克3
ชุดชั้นใน3|内衣3
รองเท้า3|鞋子3
รองเท้าผ้าใบ3|运动鞋3
รองเท้าส้นสูง3|高跟鞋3
รองเท้าแตะ3|拖鞋3
หมวก3|帽子3
แว่นตา3|眼镜3
แว่นกันแดด3|太阳镜3
นาฬิกา3|手表3
สร้อยคอ3|项链3
ต่างหู3|耳环3
แหวน3|戒指3
กำไล3|手镯3
กระเป๋า3|包3
กระเป๋าสตางค์3|钱包3
กระเป๋าสะพาย3|挎包3
เป้3|背包3
เครื่องสำอาง3|化妆品3
ลิปสติก3|口红3
บลัชออน3|腮红3
มาสคาร่า3|睫毛膏3
อายแชโดว์3|眼影3
foundation3|粉底液3
ครีมกันแดด3|防晒霜3
ครีมบำรุงผิว3|护肤霜3
เซรั่ม3|精华3
มอยเจอร์ไรเซอร์3|保湿霜3
น้ำหอม3|香水3
สบู่3|肥皂3
แชมพู3|洗发水3
คอนดิชันเนอร์3|护发素3
แป้ง3|粉3
อุปกรณ์ไฟฟ้า3|电器3
โทรศัพท์3|手机3
หูฟัง3|耳机3
ลำโพง3|扬声器3
สายชาร์จ3|充电线3
Case3|保护套3
ฟิล์ม3|屏幕保护膜3
Power Bank3|充电宝3
สาย HDMI3|HDMI线3
อุปกรณ์ครัว3|厨房用品3
หม้อ3|锅3
กระทะ3|平底锅3
มีด3|刀3
เขียง3|砧板3
จาน3|盘子3
ชาม3|碗3
ช้อน3|勺子3
ส้อม3|叉子3
ตะเกียบ3|筷子3
แก้ว3|杯子3
แก้วน้ำ3|水杯3
แก้วกาแฟ3|咖啡杯3
กระติกน้ำ3|保温杯3
ขวดน้ำ3|水瓶3
ลองดู3|看看3
ขอมาดู3|看看3
ใส่ได้ไหม3|能试穿吗3
ห้องลอง3|试衣间3
ห้องน้ำ3|卫生间3
จ่ายเงินที่ไหน3|在哪里付款3
คิดเงิน3|结账3
คูปอง3|优惠券3
โปรโมชั่น3|促销3
ของแถม3|赠品3
ซื้อหนึ่งแถมหนึ่ง3|买一送一3
ซื้อสองแถมหนึ่ง3|买二送一3
ซื้อ4|买4
ขาย4|卖4
ราคา4|价格4
ถูก4|便宜4
แพง4|贵4
ลดราคา4|打折4
ส่วนลด4|折扣4
ลด4|减少4
เพิ่ม4|增加4
จ่ายเงิน4|付款4
เงินสด4|现金4
บัตรเครดิต4|信用卡4
โอนเงิน4|转账4
QR Code4|二维码4
ใบเสร็จ4|收据4
ใบกำกับภาษี4|发票4
SIZE4|尺寸4
ไซส์4|尺寸4
เล็ก4|小4
กลาง4|中4
ใหญ่4|大4
เล็กมาก4|超小4
ใหญ่มาก4|超大4
สี4|颜色4
สีแดง4|红色4
สีน้ำเงิน4|蓝色4
สีเขียว4|绿色4
สีดำ4|黑色4
สีขาว4|白色4
แบบ4|款式4
ใหม่4|新4
เก่า4|旧4
ล่าสุด4|最新4
รุ่น4|型号4
รุ่นใหม่4|新款4
ร้าน4|店铺4
ห้างสรรพสินค้า4|百货商场4
ซุปเปอร์มาร์เก็ต4|超市4
ตลาด4|市场4
ตลาดนัด4|跳蚤市场4
ตลาดกลางคืน4|夜市4
ออนไลน์4|网上4
แอป4|App4
สินค้า4|商品4
สินค้าลดราคา4|打折商品4
สินค้าหมด4|售罄4
มีของ4|有货4
หมด4|没货4
สั่งซื้อ4|订购4
สั่งออนไลน์4|网上订购4
สั่งล่วงหน้า4|预订4
จัดส่ง4|配送4
จัดส่งฟรี4|免运费4
ส่งด่วน4|快递4
ส่ง EMS4|EMS快递4
จัดส่งภายในวัน4|当日达4
ส่งคืน4|退货4
เปลี่ยนสินค้า4|换货4
คืนเงิน4|退款4
รับประกัน4|保修4
 гарантія4|保修4
สินค้ามีปัญหา4|有问题的商品4
ชำรุด4|损坏4
ไม่ตรงปก4|货不对板4
ของแท้4|正品4
ของปลอม4|假货4
ลอกเลียนแบบ4|仿冒4
Brand4|品牌4
ยี่ห้อ4|品牌4
เสื้อผ้า4|衣服4
กางเกง4|裤子4
กระโปรง4|裙子4
ชุด4|套装4
เสื้อยืด4|T恤4
เสื้อเชิ้ต4|衬衫4
เสื้อกันหนาว4|外套4
แจ็คเก็ต4|夹克4
ชุดชั้นใน4|内衣4
รองเท้า4|鞋子4
รองเท้าผ้าใบ4|运动鞋4
รองเท้าส้นสูง4|高跟鞋4
รองเท้าแตะ4|拖鞋4
หมวก4|帽子4
แว่นตา4|眼镜4
แว่นกันแดด4|太阳镜4
นาฬิกา4|手表4
สร้อยคอ4|项链4
ต่างหู4|耳环4
แหวน4|戒指4
กำไล4|手镯4
กระเป๋า4|包4
กระเป๋าสตางค์4|钱包4
กระเป๋าสะพาย4|挎包4
เป้4|背包4
เครื่องสำอาง4|化妆品4
ลิปสติก4|口红4
บลัชออน4|腮红4
มาสคาร่า4|睫毛膏4
อายแชโดว์4|眼影4
foundation4|粉底液4
ครีมกันแดด4|防晒霜4
ครีมบำรุงผิว4|护肤霜4
เซรั่ม4|精华4
มอยเจอร์ไรเซอร์4|保湿霜4
น้ำหอม4|香水4
สบู่4|肥皂4
แชมพู4|洗发水4
คอนดิชันเนอร์4|护发素4
แป้ง4|粉4
อุปกรณ์ไฟฟ้า4|电器4
โทรศัพท์4|手机4
หูฟัง4|耳机4
ลำโพง4|扬声器4
สายชาร์จ4|充电线4
Case4|保护套4
ฟิล์ม4|屏幕保护膜4
Power Bank4|充电宝4
สาย HDMI4|HDMI线4
อุปกรณ์ครัว4|厨房用品4
หม้อ4|锅4
กระทะ4|平底锅4
มีด4|刀4
เขียง4|砧板4
จาน4|盘子4
ชาม4|碗4
ช้อน4|勺子4
ส้อม4|叉子4
ตะเกียบ4|筷子4
แก้ว4|杯子4
แก้วน้ำ4|水杯4
แก้วกาแฟ4|咖啡杯4
กระติกน้ำ4|保温杯4
ขวดน้ำ4|水瓶4
ลองดู4|看看4
ขอมาดู4|看看4
ใส่ได้ไหม4|能试穿吗4
ห้องลอง4|试衣间4
ห้องน้ำ4|卫生间4
จ่ายเงินที่ไหน4|在哪里付款4
คิดเงิน4|结账4
คูปอง4|优惠券4
โปรโมชั่น4|促销4
ของแถม4|赠品4
ซื้อหนึ่งแถมหนึ่ง4|买一送一4
ซื้อสองแถมหนึ่ง4|买二送一4
ซื้อ5|买5
ขาย5|卖5
ราคา5|价格5
ถูก5|便宜5
แพง5|贵5
ลดราคา5|打折5
ส่วนลด5|折扣5
ลด5|减少5
เพิ่ม5|增加5
จ่ายเงิน5|付款5
เงินสด5|现金5
บัตรเครดิต5|信用卡5
โอนเงิน5|转账5
QR Code5|二维码5
ใบเสร็จ5|收据5
ใบกำกับภาษี5|发票5
SIZE5|尺寸5
ไซส์5|尺寸5
เล็ก5|小5
กลาง5|中5
ใหญ่5|大5
เล็กมาก5|超小5
ใหญ่มาก5|超大5
สี5|颜色5
สีแดง5|红色5
สีน้ำเงิน5|蓝色5
สีเขียว5|绿色5
สีดำ5|黑色5
สีขาว5|白色5
แบบ5|款式5
ใหม่5|新5
เก่า5|旧5
ล่าสุด5|最新5
รุ่น5|型号5
รุ่นใหม่5|新款5
ร้าน5|店铺5
ห้างสรรพสินค้า5|百货商场5
ซุปเปอร์มาร์เก็ต5|超市5
ตลาด5|市场5
ตลาดนัด5|跳蚤市场5
ตลาดกลางคืน5|夜市5
ออนไลน์5|网上5
แอป5|App5
สินค้า5|商品5
สินค้าลดราคา5|打折商品5
สินค้าหมด5|售罄5
มีของ5|有货5
หมด5|没货5
สั่งซื้อ5|订购5
สั่งออนไลน์5|网上订购5
สั่งล่วงหน้า5|预订5
จัดส่ง5|配送5
จัดส่งฟรี5|免运费5
ส่งด่วน5|快递5
ส่ง EMS5|EMS快递5
จัดส่งภายในวัน5|当日达5
ส่งคืน5|退货5
เปลี่ยนสินค้า5|换货5
คืนเงิน5|退款5
รับประกัน5|保修5
 гарантія5|保修5
สินค้ามีปัญหา5|有问题的商品5
ชำรุด5|损坏5
ไม่ตรงปก5|货不对板5
ของแท้5|正品5
ของปลอม5|假货5
ลอกเลียนแบบ5|仿冒5
Brand5|品牌5
ยี่ห้อ5|品牌5
เสื้อผ้า5|衣服5
กางเกง5|裤子5
กระโปรง5|裙子5
ชุด5|套装5
เสื้อยืด5|T恤5
เสื้อเชิ้ต5|衬衫5
เสื้อกันหนาว5|外套5
แจ็คเก็ต5|夹克5
ชุดชั้นใน5|内衣5
รองเท้า5|鞋子5
รองเท้าผ้าใบ5|运动鞋5
รองเท้าส้นสูง5|高跟鞋5
รองเท้าแตะ5|拖鞋5
หมวก5|帽子5
แว่นตา5|眼镜5
แว่นกันแดด5|太阳镜5
นาฬิกา5|手表5
สร้อยคอ5|项链5
ต่างหู5|耳环5
แหวน5|戒指5
กำไล5|手镯5
กระเป๋า5|包5
กระเป๋าสตางค์5|钱包5
กระเป๋าสะพาย5|挎包5
เป้5|背包5
เครื่องสำอาง5|化妆品5
ลิปสติก5|口红5
บลัชออน5|腮红5
มาสคาร่า5|睫毛膏5
อายแชโดว์5|眼影5
foundation5|粉底液5
ครีมกันแดด5|防晒霜5
ครีมบำรุงผิว5|护肤霜5
เซรั่ม5|精华5
มอยเจอร์ไรเซอร์5|保湿霜5
น้ำหอม5|香水5
สบู่5|肥皂5
แชมพู5|洗发水5
คอนดิชันเนอร์5|护发素5
แป้ง5|粉5
อุปกรณ์ไฟฟ้า5|电器5
โทรศัพท์5|手机5
หูฟัง5|耳机5
ลำโพง5|扬声器5
สายชาร์จ5|充电线5
Case5|保护套5
ฟิล์ม5|屏幕保护膜5
Power Bank5|充电宝5
สาย HDMI5|HDMI线5
อุปกรณ์ครัว5|厨房用品5
หม้อ5|锅5
กระทะ5|平底锅5
มีด5|刀5
เขียง5|砧板5
จาน5|盘子5
ชาม5|碗5
ช้อน5|勺子5
ส้อม5|叉子5
ตะเกียบ5|筷子5
แก้ว5|杯子5
แก้วน้ำ5|水杯5
แก้วกาแฟ5|咖啡杯5
กระติกน้ำ5|保温杯5
ขวดน้ำ5|水瓶5
ลองดู5|看看5
ขอมาดู5|看看5
ใส่ได้ไหม5|能试穿吗5
ห้องลอง5|试衣间5
ห้องน้ำ5|卫生间5
จ่ายเงินที่ไหน5|在哪里付款5
คิดเงิน5|结账5
คูปอง5|优惠券5
โปรโมชั่น5|促销5
ของแถม5|赠品5
ซื้อหนึ่งแถมหนึ่ง5|买一送一5
ซื้อสองแถมหนึ่ง5|买二送一5
ซื้อ6|买6
ขาย6|卖6
ราคา6|价格6
ถูก6|便宜6
แพง6|贵6
ลดราคา6|打折6
ส่วนลด6|折扣6
ลด6|减少6
เพิ่ม6|增加6
จ่ายเงิน6|付款6
เงินสด6|现金6
บัตรเครดิต6|信用卡6
โอนเงิน6|转账6
QR Code6|二维码6
ใบเสร็จ6|收据6
ใบกำกับภาษี6|发票6
SIZE6|尺寸6
ไซส์6|尺寸6
เล็ก6|小6
กลาง6|中6
ใหญ่6|大6
เล็กมาก6|超小6
ใหญ่มาก6|超大6
สี6|颜色6
สีแดง6|红色6
สีน้ำเงิน6|蓝色6
สีเขียว6|绿色6
สีดำ6|黑色6
สีขาว6|白色6
แบบ6|款式6
ใหม่6|新6
เก่า6|旧6
ล่าสุด6|最新6
รุ่น6|型号6
รุ่นใหม่6|新款6
ร้าน6|店铺6
ห้างสรรพสินค้า6|百货商场6
ซุปเปอร์มาร์เก็ต6|超市6
ตลาด6|市场6
ตลาดนัด6|跳蚤市场6
ตลาดกลางคืน6|夜市6
ออนไลน์6|网上6
แอป6|App6
สินค้า6|商品6
สินค้าลดราคา6|打折商品6
สินค้าหมด6|售罄6
มีของ6|有货6
หมด6|没货6
สั่งซื้อ6|订购6
สั่งออนไลน์6|网上订购6
สั่งล่วงหน้า6|预订6
จัดส่ง6|配送6
จัดส่งฟรี6|免运费6
ส่งด่วน6|快递6
ส่ง EMS6|EMS快递6
จัดส่งภายในวัน6|当日达6
ส่งคืน6|退货6
เปลี่ยนสินค้า6|换货6
คืนเงิน6|退款6
รับประกัน6|保修6
 гарантія6|保修6
สินค้ามีปัญหา6|有问题的商品6
ชำรุด6|损坏6
ไม่ตรงปก6|货不对板6
ของแท้6|正品6
ของปลอม6|假货6
ลอกเลียนแบบ6|仿冒6
Brand6|品牌6
ยี่ห้อ6|品牌6
เสื้อผ้า6|衣服6
กางเกง6|裤子6
กระโปรง6|裙子6
ชุด6|套装6
เสื้อยืด6|T恤6
เสื้อเชิ้ต6|衬衫6
เสื้อกันหนาว6|外套6
แจ็คเก็ต6|夹克6
ชุดชั้นใน6|内衣6
รองเท้า6|鞋子6
รองเท้าผ้าใบ6|运动鞋6
รองเท้าส้นสูง6|高跟鞋6
รองเท้าแตะ6|拖鞋6
หมวก6|帽子6
แว่นตา6|眼镜6
แว่นกันแดด6|太阳镜6
นาฬิกา6|手表6
สร้อยคอ6|项链6
ต่างหู6|耳环6
แหวน6|戒指6
กำไล6|手镯6
กระเป๋า6|包6
กระเป๋าสตางค์6|钱包6
กระเป๋าสะพาย6|挎包6
เป้6|背包6
เครื่องสำอาง6|化妆品6
ลิปสติก6|口红6
บลัชออน6|腮红6
มาสคาร่า6|睫毛膏6
อายแชโดว์6|眼影6
foundation6|粉底液6
ครีมกันแดด6|防晒霜6
ครีมบำรุงผิว6|护肤霜6
เซรั่ม6|精华6
มอยเจอร์ไรเซอร์6|保湿霜6
น้ำหอม6|香水6
สบู่6|肥皂6
แชมพู6|洗发水6
คอนดิชันเนอร์6|护发素6
แป้ง6|粉6
อุปกรณ์ไฟฟ้า6|电器6
โทรศัพท์6|手机6
หูฟัง6|耳机6
ลำโพง6|扬声器6
สายชาร์จ6|充电线6
Case6|保护套6
ฟิล์ม6|屏幕保护膜6
Power Bank6|充电宝6
สาย HDMI6|HDMI线6
อุปกรณ์ครัว6|厨房用品6
หม้อ6|锅6
กระทะ6|平底锅6
มีด6|刀6
เขียง6|砧板6
จาน6|盘子6
ชาม6|碗6
ช้อน6|勺子6
ส้อม6|叉子6
ตะเกียบ6|筷子6
แก้ว6|杯子6
แก้วน้ำ6|水杯6
แก้วกาแฟ6|咖啡杯6
กระติกน้ำ6|保温杯6
ขวดน้ำ6|水瓶6
ลองดู6|看看6
ขอมาดู6|看看6
ใส่ได้ไหม6|能试穿吗6
ห้องลอง6|试衣间6
ห้องน้ำ6|卫生间6
จ่ายเงินที่ไหน6|在哪里付款6
คิดเงิน6|结账6
คูปอง6|优惠券6
โปรโมชั่น6|促销6
ของแถม6|赠品6
ซื้อหนึ่งแถมหนึ่ง6|买一送一6
ซื้อสองแถมหนึ่ง6|买二送一6
ซื้อ7|买7
ขาย7|卖7
ราคา7|价格7
ถูก7|便宜7
แพง7|贵7
ลดราคา7|打折7
ส่วนลด7|折扣7
ลด7|减少7
เพิ่ม7|增加7
จ่ายเงิน7|付款7
เงินสด7|现金7
บัตรเครดิต7|信用卡7
โอนเงิน7|转账7
QR Code7|二维码7
ใบเสร็จ7|收据7
ใบกำกับภาษี7|发票7
SIZE7|尺寸7
ไซส์7|尺寸7
เล็ก7|小7
กลาง7|中7
ใหญ่7|大7
เล็กมาก7|超小7
ใหญ่มาก7|超大7
สี7|颜色7
สีแดง7|红色7
สีน้ำเงิน7|蓝色7
สีเขียว7|绿色7
สีดำ7|黑色7
สีขาว7|白色7
แบบ7|款式7
ใหม่7|新7
เก่า7|旧7
ล่าสุด7|最新7
รุ่น7|型号7
รุ่นใหม่7|新款7
ร้าน7|店铺7
ห้างสรรพสินค้า7|百货商场7
ซุปเปอร์มาร์เก็ต7|超市7
ตลาด7|市场7
ตลาดนัด7|跳蚤市场7
ตลาดกลางคืน7|夜市7
ออนไลน์7|网上7
แอป7|App7
สินค้า7|商品7
สินค้าลดราคา7|打折商品7
สินค้าหมด7|售罄7
มีของ7|有货7
หมด7|没货7
สั่งซื้อ7|订购7
สั่งออนไลน์7|网上订购7
สั่งล่วงหน้า7|预订7
จัดส่ง7|配送7
จัดส่งฟรี7|免运费7
ส่งด่วน7|快递7
ส่ง EMS7|EMS快递7
จัดส่งภายในวัน7|当日达7
ส่งคืน7|退货7
เปลี่ยนสินค้า7|换货7
คืนเงิน7|退款7
รับประกัน7|保修7
 гарантія7|保修7
สินค้ามีปัญหา7|有问题的商品7
ชำรุด7|损坏7
ไม่ตรงปก7|货不对板7
ของแท้7|正品7
